med_group,concept_id
ICS,1355731
ICS,1594363
ICS,1594426
ICS,36212003
ICS,36212123
ICS,36212124
ICS,36212127
ICS,36212137
ICS,36212138
ICS,36212144
ICS,36212288
ICS,36212864
ICS,36213686
ICS,36215515
ICS,36215516
ICS,36216765
ICS,36217556
ICS,36218674
ICS,36219413
ICS,36223381
ICS,36227374
ICS,36227516
ICS,36246233
ICS,36248502
ICS,36248836
ICS,36248883
ICS,36248933
ICS,36249521
ICS,36897938
ICS,42731729
ICS,43869247
Systemic glucocorticosteroids,1592219
Systemic glucocorticosteroids,1592226
Systemic glucocorticosteroids,1594363
Systemic glucocorticosteroids,1594426
Systemic glucocorticosteroids,19129597
Systemic glucocorticosteroids,19129602
Systemic glucocorticosteroids,19132474
Systemic glucocorticosteroids,19132478
Systemic glucocorticosteroids,19133824
Systemic glucocorticosteroids,19133826
Systemic glucocorticosteroids,35606603
Systemic glucocorticosteroids,36211968
Systemic glucocorticosteroids,36211969
Systemic glucocorticosteroids,36212123
Systemic glucocorticosteroids,36212124
Systemic glucocorticosteroids,36212127
Systemic glucocorticosteroids,36212137
Systemic glucocorticosteroids,36212138
Systemic glucocorticosteroids,36212144
Systemic glucocorticosteroids,36212288
Systemic glucocorticosteroids,36212638
Systemic glucocorticosteroids,36212639
Systemic glucocorticosteroids,36212644
Systemic glucocorticosteroids,36212659
Systemic glucocorticosteroids,36212660
Systemic glucocorticosteroids,36212669
Systemic glucocorticosteroids,36212756
Systemic glucocorticosteroids,36212864
Systemic glucocorticosteroids,36212923
Systemic glucocorticosteroids,36213686
Systemic glucocorticosteroids,36213935
Systemic glucocorticosteroids,36213941
Systemic glucocorticosteroids,36213943
Systemic glucocorticosteroids,36213944
Systemic glucocorticosteroids,36213945
Systemic glucocorticosteroids,36214280
Systemic glucocorticosteroids,36214281
Systemic glucocorticosteroids,36214301
Systemic glucocorticosteroids,36214828
Systemic glucocorticosteroids,36214841
Systemic glucocorticosteroids,36215050
Systemic glucocorticosteroids,36215515
Systemic glucocorticosteroids,36215516
Systemic glucocorticosteroids,36215517
Systemic glucocorticosteroids,36215778
Systemic glucocorticosteroids,36216101
Systemic glucocorticosteroids,36216292
Systemic glucocorticosteroids,36216365
Systemic glucocorticosteroids,36216366
Systemic glucocorticosteroids,36216744
Systemic glucocorticosteroids,36216746
Systemic glucocorticosteroids,36216747
Systemic glucocorticosteroids,36216759
Systemic glucocorticosteroids,36216761
Systemic glucocorticosteroids,36216763
Systemic glucocorticosteroids,36216764
Systemic glucocorticosteroids,36216765
Systemic glucocorticosteroids,36217011
Systemic glucocorticosteroids,36217180
Systemic glucocorticosteroids,36217286
Systemic glucocorticosteroids,36217287
Systemic glucocorticosteroids,36217524
Systemic glucocorticosteroids,36217556
Systemic glucocorticosteroids,36218161
Systemic glucocorticosteroids,36218221
